"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Aug 10 18:28:34 AEST 2020","Mon Aug 10 18:29:01 AEST 2020","27312","Test_Suites","Test_Search_Customer","Test_Search_Customer","","","test05_valid_firstname",""
"failed","Mon Aug 10 18:27:58 AEST 2020","Mon Aug 10 18:28:34 AEST 2020","35768","Test_Suites","Test_Search_Customer","Test_Search_Customer","","","test04_invalid_company",""
"passed","Mon Aug 10 18:25:37 AEST 2020","Mon Aug 10 18:26:38 AEST 2020","61559","Test_Suites","Test_Search_Customer","Test_Search_Customer","","","test01_valid_email",""
"broken","Mon Aug 10 18:27:19 AEST 2020","Mon Aug 10 18:27:57 AEST 2020","38559","Test_Suites","Test_Search_Customer","Test_Search_Customer","","","test03_valid_company",""
"passed","Mon Aug 10 18:22:33 AEST 2020","Mon Aug 10 18:22:33 AEST 2020","38","Test_Suites","Test_Admin_Login","Test_Admin_Login","","","test01_valid_titlepage",""
"passed","Mon Aug 10 18:29:01 AEST 2020","Mon Aug 10 18:29:27 AEST 2020","25713","Test_Suites","Test_Search_Customer","Test_Search_Customer","","","test06_invalid_firstname",""
"passed","Mon Aug 10 18:26:38 AEST 2020","Mon Aug 10 18:27:19 AEST 2020","40442","Test_Suites","Test_Search_Customer","Test_Search_Customer","","","test02_invalid_email",""
"passed","Mon Aug 10 18:23:29 AEST 2020","Mon Aug 10 18:23:34 AEST 2020","4585","Test_Suites","Test_Admin_Login","Test_Admin_Login","","","test03_invalid_password",""
"passed","Mon Aug 10 18:29:32 AEST 2020","Mon Aug 10 18:29:38 AEST 2020","5941","Test_Suites","Test_Search_Customer","Test_Search_Customer","","","test08_invalid_lastname",""
"passed","Mon Aug 10 18:24:12 AEST 2020","Mon Aug 10 18:24:29 AEST 2020","16246","Test_Suites","Test_Admin_Login","Test_Admin_Login","","","test04_valid_credentials",""
"passed","Mon Aug 10 18:29:48 AEST 2020","Mon Aug 10 18:29:51 AEST 2020","3510","Test_Suites","Test_Search_Customer","Test_Search_Customer","","","test11_export_excelall",""
"passed","Mon Aug 10 18:29:45 AEST 2020","Mon Aug 10 18:29:48 AEST 2020","3021","Test_Suites","Test_Search_Customer","Test_Search_Customer","","","test10_export_xmlall",""
"passed","Mon Aug 10 18:29:38 AEST 2020","Mon Aug 10 18:29:45 AEST 2020","6471","Test_Suites","Test_Search_Customer","Test_Search_Customer","","","test09_fullname",""
"broken","Mon Aug 10 18:21:30 AEST 2020","Mon Aug 10 18:22:13 AEST 2020","43025","Test_Suites","Test_Add_Customer_DataDriven","Test_Add_Customer","","","test_add_customer",""
"passed","Mon Aug 10 18:22:56 AEST 2020","Mon Aug 10 18:22:58 AEST 2020","2232","Test_Suites","Test_Admin_Login","Test_Admin_Login","","","test02_invalid_user",""
"passed","Mon Aug 10 18:29:27 AEST 2020","Mon Aug 10 18:29:32 AEST 2020","5150","Test_Suites","Test_Search_Customer","Test_Search_Customer","","","test07_valid_lastname",""
